sample,muscle,crab,inx1,inx2,ccapr
1,3a,3,19.8104,18.2817,22.534
1,3a,3,17.9181,18.1768,20.3268
1,3a,3,17.6341,17.3517,18.7613
2,6ab,4,20.0535,17.6089,21.8538
2,6ab,4,17.1717,17.6221,18.9986
3,8b,1,19.2393,17.2614,22.7997
3,8b,1,16.9226,17.2051,20.0504
3,8b,1,18.9046,16.9514,20.9537
4,8a,1,21.8738,19.7654,22.7633
4,8a,1,20.2682,19.4373,20.914
4,8a,1,19.0347,19.3978,18.4361
5,6ab,3,19.6645,18.3058,21.7272
5,6ab,3,17.7131,18.5333,19.1676
5,6ab,3,17.7245,17.3924,18.6651
6,8a,4,21.2335,19.554,23.4348
6,8a,4,19.4046,19.1964,20.463
6,8a,4,19.052,19.489,19.3137
7,5b,3,18.5109,17.4063,21.4152
7,5b,3,17.3703,17.0189,17.935
7,5b,3,16.8735,16.6743,17.0525
9,5ab,4,16.8632,16.3026,17.9735
9,5ab,4,16.6668,16.4772,16.9706
9,5ab,4,16.9038,17.4277,16.5675
10,6ab,1,21.0065,20.7728,21.2052
10,6ab,1,20.3146,20.1887,20.2638
10,6ab,1,20.4211,20.2877,19.3653
11,8a,2,19.1317,19.1133,20.5899
11,8a,2,18.2567,18.8708,19.3275
11,8a,2,17.9358,18.8554,18.3641
12,8b,2,19.6852,20.8557,23.4023
12,8b,2,18.9626,19.614,22.5982
12,8b,2,18.592,18.5617,20.871
13,5b,1,21.2636,21.3219,23.1608
13,5b,1,20.093,22.3253,22.2178
13,5b,1,22.3484,20.1429,21.5302
14,5b,2,18.8794,18.2149,19.0939
14,5b,2,17.8626,18.0761,18.5883
14,5b,2,17.5059,17.8016,17.4462
15,6ab,2,21.1603,20.533,22.5102
15,6ab,2,20.6344,20.6437,22.1442
15,6ab,2,19.6857,20.6907,20.4365
